ID,ton_emision,n_equip,raz_social,nombre,rubro,ciiu4,region,provincia,comuna,huso,coord_norte,coord_este,Latitud,Longitud,max_emision,orden,catg,x,y,pt_size,clr
80779,255.154,1,CIA MINERA DONA INES DE COLLAHUASI SCM,COMPAÑIA MINERA DOÑA INES DE COLLAHUASI SCM,Extracción de minerales,EXTRACCIÓN DE COBRE.,Tarapacá,Tamarugal,Pica,19.0,7679057.0,535701.0,-20.988768959385208,-68.65651325020363,255.154,1,7,-7642808.094654309,-2390539.4567237054,5.541867284439811,#d62728
83489,78.37244,2,VULCO S A,VULCO PLANTA IQUIQUE,Industria manufacturera,"FABRICACIÓN DE BOMBAS, GRIFOS, VÁLVULAS, COMPRESORES, SISTEMAS HIDRÁULICOS;  SUS REPARACIONES",Tarapacá,Iquique,Alto Hospicio,19.0,7760382.0,385687.0,-20.25084354189753,-70.09449719698058,76.8052,1,6,-7802883.735378421,-2302770.584131938,4.361472334942747,#98df8a
83547,2290.0730999999996,2,INDUSTRIAS CERESITA S A,INDUSTRIAS CERESITA,Industria manufacturera,FABRICACIÓN DE PINTURAS BARNICES Y PRODUCTOS DE REVESTIMIENTO SIMILARES; TINTAS DE IMPRENTA Y MASILLAS,Metropolitana,Santiago,Estación Central,19.0,6295547.0,343352.0,-33.46809489759263,-70.68575146383,2215.7,1,6,-7868701.859293449,-3957601.834000799,7.736339017436188,#98df8a
85016,450055.468,2,CELULOSA ARAUCO Y CONSTITUCION S A,PLANTA LICANCEL,Industria del papel y celulosa,"FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN",Maule,Curicó,Licantén,18.0,6124238.0,771985.0,-34.98792966838511,-72.02029775857038,291981.159,1,16,-8017262.873263997,-4162240.955169183,13.01712611637256,#c7c7c7
87117,1689.2,1,INDUSTRIAL NAGUILAN S A,INDUSTRIAL NAGUILAN SA,Industria manufacturera,ASERRADO Y ACEPILLADURA DE MADERAS,Libertador Gral. Bernardo O'Higgins,Cardenal Caro,Pichilemu,18.0,6190896.0,775389.0,-34.38672309543189,-72.00476994969556,1689.2,1,6,-8015534.325486917,-4080848.4498469196,7.432010323059789,#98df8a
89013,27678.131,7,COMPANIA MINERA TECK QUEBRADA BLANCA S.A.,MINERA QUEBRADA BLANCA,Extracción de minerales,EXTRACCIÓN DE COBRE.,Tarapacá,Tamarugal,Pica,19.0,7678772.0,524133.0,-20.991532184715066,-68.76780654874047,9424.65,1,7,-7655197.207976133,-2390868.9200841784,10.228397885775614,#d62728
92566,58.4064,1,CLOROX CHILE S A,CLOROX CHILE SA,Industria manufacturera,"FABRICACIONES DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR Y PULIR, PERFUMES Y PREPARADOS DE TOCADOR",Metropolitana,Santiago,Quilicura,19.0,6305248.0,337194.0,-33.379716397794326,-70.75023725651906,58.4064,1,6,-7875880.384898995,-3945814.1058472083,4.067425472870837,#98df8a
96280,16968.1,1,MINERA LOS PELAMBRES,MINERA LOS PELAMBRES,Extracción de minerales,EXTRACCIÓN DE COBRE.,Coquimbo,Choapa,Salamanca,19.0,6478233.0,350114.0,-31.821716431007943,-70.58369793230746,16968.1,1,7,-7857341.312130704,-3739930.8226660653,9.73909038967364,#d62728
99599,25209.462,6,CORPESCA S A,PLANTA MEJILLONES,Pesca,ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO,Antofagasta,Antofagasta,Mejillones,19.0,7445442.0,353949.0,-23.093272075610876,-70.42602375931395,7483.093000000002,1,13,-7839789.103481815,-2643302.2212818316,10.134974679216446,#e377c2
107125,4778.49,2,COMPANIA PISQUERA DE CHILE S A,PLANTA PISQUERA DE MONTE PATRIA,Producción de alimentos,"DESTILACIÓN, RECTIFICACIÓN Y MEZCLAS DE BEBIDAS ALCOHÓLICAS",Coquimbo,Limarí,Monte Patria,19.0,6602147.0,312926.0,-30.698822139098088,-70.95329142680511,2570.15,1,2,-7898484.271738688,-3593696.9251527423,8.471879875997129,#aec7e8
244646,1673.07,1,REXAM CHILE S A,REXAM CHILE SA,Industria manufacturera,FABRICACIÓN DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.,Metropolitana,Chacabuco,Lampa,19.0,6311988.0,338569.0,-33.31915795455086,-70.73425572813396,1673.07,1,6,-7874101.329297068,-3937743.871602372,7.422415541115698,#98df8a
245109,25141.881,7,SOC CONTRACTUAL MINERA EL ABRA,SOCIEDAD CONTRACTUAL MINERA EL ABRA ,Extracción de minerales,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS,Antofagasta,El Loa,Calama,19.0,7563159.0,538120.0,-22.03584852476425,-68.63060368533539,9484.84,1,7,-7639923.855086501,-2515829.822596235,10.132290300347673,#d62728
245125,232.171,1,RECYCLING S.A.,RECYCLING,Producción química,FABRICACIÓN DE OTROS PRODUCTOS QUÍMICOS N.C.P,Metropolitana,Chacabuco,Lampa,19.0,6311767.0,338657.0,-33.32116363217648,-70.73335017098505,232.171,1,14,-7874000.523136366,-3938011.065520779,5.447474169129899,#f7b6d2
245136,30074.582000000002,6,MOLIBDENOS Y METALES S A,MOLYMETNOS,Industria manufacturera,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS,Metropolitana,Maipo,San Bernardo,19.0,6277155.0,342350.0,-33.63376279237331,-70.69977515737295,14807.091,1,6,-7870262.969717691,-3979730.6927242833,10.311435642159427,#98df8a
