"Time stamp","System power generated | (kW)","AC inverter output power | (W)","DC inverter input power | (W)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Weather file ambient temperature | (C)","Weather file beam irradiance | (W/m2)","Weather file diffuse irradiance | (W/m2)","Weather file global horizontal irradiance | (W/m2)"
"Jan 13, 04:00 am",0,0,0,12.8,0,12.8,0,0,0
"Jan 13, 05:00 am",0,0,0,11.9,0,11.9,0,0,0
"Jan 13, 06:00 am",0,0,0,11.1,0,11.1,0,0,0
"Jan 13, 07:00 am",357.512,357512,371873,24.4792,424.136,14.3,701.8,34.1,177.7
"Jan 13, 08:00 am",687.429,687429,714889,49.4157,901.239,17.5,905.1,45.1,424.2
"Jan 13, 09:00 am",785.565,785565,817808,49.7972,1048.9,20.6,993.9,51.3,663
"Jan 13, 10:00 am",820.586,820586,854637,49.462,1106.87,23.3,1041.3,55.3,868.8
"Jan 13, 11:00 am",831.067,831067,865669,49.8433,1130.56,25.6,1067.7,58,1024.2
"Jan 13, 12:00 pm",831.166,831166,865773,50.8686,1139.44,27.2,1081,59.5,1116.7
"Jan 13, 01:00 pm",833.333,833333,871134,49.298,1140.07,28.3,1083.4,60,1138.6
