Ton vapor,,,,consumo agua,,,consumo GN,,
Caldera Loos,Caldera Salcor,Caldera Visa,Desgasificador,Caldera Loos,Caldera Salcor,Caldera Visa,Caldera Loos,Caldera Salcor,Caldera Visa
133.0,0.0,0.0,9.0,155.0,1.2,0.0,"10,020.0",86.0,0.0
18.0,0.0,0.0,4.0,46.0,0.0,0.0,"2,599.0",21.0,0.0
145.0,3.0,0.0,11.0,153.0,2.4,0.0,"10,124.0",353.0,0.0
262.0,5.0,0.0,15.0,276.0,5.9,0.0,"18,792.0",506.0,0.0
232.0,2.0,0.0,14.0,244.0,2.0,0.0,"16,572.0",224.0,0.0
235.0,6.0,0.0,12.0,249.0,6.7,0.0,"16,679.0",575.0,0.0
207.0,1.0,0.0,9.0,220.0,1.8,0.0,"14,706.0",211.0,0.0
158.0,3.0,0.0,11.0,173.0,3.6,0.0,"11,270.0",292.0,0.0
16.0,0.0,0.0,3.0,44.0,0.0,0.0,"2,486.0",8.0,0.0
143.0,1.0,0.0,10.0,151.0,0.0,0.0,"9,929.0",146.0,0.0
162.0,0.0,0.0,8.0,172.0,0.0,0.0,"11,246.0",33.0,0.0
166.0,0.0,0.0,7.0,174.0,0.0,0.0,"11,560.0",42.0,0.0
154.0,0.0,0.0,10.0,181.0,0.0,0.0,"10,848.0",86.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,72.0,24.0,7.0,0.0,79.1,25.0,0.0,"5,849.0","2,217.0"
0.0,162.0,62.0,12.0,0.0,176.3,63.0,0.0,"12,942.0","4,772.0"
0.0,146.0,47.0,11.0,0.0,158.8,49.0,0.0,"11,662.0","3,766.0"
0.0,156.0,38.0,11.0,0.0,168.7,39.0,0.0,"12,239.0","2,992.0"
0.0,151.0,39.0,9.0,0.0,163.7,41.0,0.0,"11,894.0","3,119.0"
0.0,121.0,24.0,11.0,0.0,130.6,28.0,0.0,"9,281.0","1,961.0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.0,3.0,0.0,14.0,198.0,3.2,0.0,"13,392.0",395.0,0.0
192.0,0.0,0.0,9.0,205.0,0.0,0.0,"13,642.0",30.0,0.0
189.0,0.0,0.0,9.0,202.0,0.7,0.0,"13,401.0",125.0,0.0
216.0,0.0,0.0,10.0,228.0,0.2,0.0,"15,389.0",0.0,0.0
